Type,Subtype,Indel_size,Repeat_MH_size,W.3 (BI_ID1_P 0.9706) (BI_ID14_P 0.0854) (BI_ID21_S 0.0487) (BI_ID25_S 0.2005),W.1 (BI_ID2_P 0.9423) (BI_ID7_S 0.2816) (BI_ID12_P 0.0184) (BI_ID22_S 0.0306) (BI_ID26_S 0.2479),W.4 (BI_ID4_P 0.7213) (BI_ID19_S 0.2615) (BI_ID20_S 0.4564) (BI_ID23_S 0.0397) (BI_ID27_S 0.0741) (BI_ID29_S 0.6111),W.2 (BI_ID6_P 0.6706) (BI_ID3_P 0.5684) (BI_ID5_P 0.5597) (BI_ID8_P 0.6296) (BI_ID9_P 0.4009) (BI_ID10_P 0.1424) (BI_ID11_P 0.2544) (BI_ID13_S 0.3235) (BI_ID18_S 0.1135) (BI_ID24_S 0.1964) (BI_ID28_S 0.1183) (BI_ID30_S 0.1196) (BI_ID31_P 0.0315) (BI_ID32_S 0.1289)
INS,repeats,4,1,0.00469223176276792,0.000200185531765102,0,0.0074788301193217
INS,repeats,4,2,7.92323838573171e-38,4.39407631048048e-05,0,0.00050352339523205
INS,repeats,4,3,0.000674101868232937,4.24966835281048e-05,0,0
INS,repeats,4,4,7.64741923424599e-61,3.80321704014042e-05,0,0.00022245868231621
INS,repeats,4,5+,0.000900966824536005,5.64134827275392e-05,0,0
INS,repeats,5+,0,2.82687677434329e-131,1.438154425725e-12,0,0.00547208077502454
INS,repeats,5+,1,0.00658252479459744,0.000368354114946412,9.92447926679011e-252,0.0276763655339055
INS,repeats,5+,2,0.00399482280938256,0,1.41116523445932e-178,0.000475624055459485
INS,repeats,5+,3,0.00104384084342756,0,0,0
INS,repeats,5+,4,4.15255630462268e-192,0,0,0.000145922154070621
INS,repeats,5+,5+,0,0,0,0
DEL,MH,2,1,0.00382943284663768,0.00286600133922892,1.66880539388041e-308,0.0241459464561475
DEL,MH,3,1,7.17502977304366e-25,0.000237752962888295,0,0.00992671809547904
DEL,MH,3,2,0.00770700697247935,0.00341931857061207,2.91725420880155e-226,0.0142529413450781
DEL,MH,4,1,0,3.14997222283647e-05,0,0.00658199013717153
DEL,MH,4,2,0.0113471642473328,0.00111143226558441,3.08207076102825e-302,0.00704781030794088
DEL,MH,4,3,0.0498572700900578,0.00122815903253343,0,1.78255282496757e-57
DEL,MH,5+,1,0,8.14635131769506e-208,0,0.0796005350455243
DEL,MH,5+,2,0,2.13877849455037e-11,0,0.071501855455585
DEL,MH,5+,3,0,0,0,0.0463302839174223
DEL,MH,5+,4,1.66880615130133e-308,0.000192231785179882,0,0.0249667874061235
DEL,MH,5+,5+,1.92315022470431e-99,0.000348048657243323,0,0.0273820760442401
