Type,Subtype,Indel_size,Repeat_MH_size,ID-E-1,ID-E-2,ID-E-3,ID-E-4,ID-E-5,ID-E-6
INS,repeats,5+,4,1E-17,0,1E-17,1E-17,1E-17,0
INS,repeats,5+,5+,1E-17,0,1E-17,1E-17,1E-17,1E-17
DEL,MH,2,1,1E-17,0.001973715,1E-17,0.149246534,1E-17,0.006371506
DEL,MH,3,1,0.0000711,0.000194116,0.001786107,0.01138416,0.006205648,0.000477525
DEL,MH,3,2,0.000198782,0.003031458,0.0009509,0.063878356,0.003173637,0.011000904
DEL,MH,4,1,1E-17,0.00000436,1E-17,0.011126175,0.008249806,0
DEL,MH,4,2,0.002029091,0.001100941,0.006704782,0.009584279,0.007707698,0.002195608
DEL,MH,4,3,0.001207228,0.000695587,0.001207786,0.033355632,0.000779779,0.000585287
DEL,MH,5+,1,0.000191322,0,0.007972109,0.011227665,0.163835098,0
DEL,MH,5+,2,0.0000574,0.000118861,1E-17,0.0000554,0.229569193,0.0000684
DEL,MH,5+,3,0.0000327,0,1E-17,1E-17,0.150864407,0
DEL,MH,5+,4,1E-17,0.000228259,0.002079003,0.002355471,0.063356972,0.000774898
DEL,MH,5+,5+,1E-17,0.000631992,0.002005924,0.001570215,0.070296818,0.00067089
